hp_zone_code,name
646416,GGD Kennemerland
646408,GGD Gelderland-Zuid
646420,GGD Rotterdam Rijnmond
646427,GGD Zuid Limburg
646411,GGD Haaglanden
646425,GGD Zeeland
646418,GGD Limburg-Noord
646417,GGD Noord- en Oost Gelderland
646407,GGD Gelderland-Midden
646415,GGD IJsselland
646409,GGD Gooi- en Vechtstreek
646406,GGD Fryslân
646424,GGD Zaanstreek Waterland
646414,GGD Hollands Noorden
646403,GGD Drenthe
646419,GGD Regio Utrecht
646402,GGD Brabant Zuidoost
646412,GGD Hart voor Brabant
646426,GGD Zuid Holland Zuid
646401,GGD Amsterdam
646405,GGD Flevoland
646410,GGD Groningen
646422,GGD Twente
646413,GGD Hollands Midden
646423,GGD West Brabant
